#    L    TT             EE             BB             TE             PP             TP             EP
   199    0.55819E+04    0.66663E+00    0.00000E+00   -0.16337E+02    0.57630E-07    0.14866E-03   -0.45549E-06
   200    0.55949E+04    0.66517E+00    0.00000E+00   -0.15090E+02    0.57343E-07    0.14747E-03   -0.43901E-06
   201    0.56072E+04    0.66455E+00    0.00000E+00   -0.13820E+02    0.57058E-07    0.14628E-03   -0.42241E-06
   202    0.56191E+04    0.66479E+00    0.00000E+00   -0.12530E+02    0.56775E-07    0.14510E-03   -0.40573E-06
   203    0.56303E+04    0.66594E+00    0.00000E+00   -0.11217E+02    0.56494E-07    0.14394E-03   -0.38897E-06
   204    0.56408E+04    0.66803E+00    0.00000E+00   -0.98850E+01    0.56215E-07    0.14278E-03   -0.37215E-06
   205    0.56508E+04    0.67111E+00    0.00000E+00   -0.85321E+01    0.55939E-07    0.14164E-03   -0.35530E-06
   206    0.56601E+04    0.67520E+00    0.00000E+00   -0.71592E+01    0.55665E-07    0.14050E-03   -0.33843E-06
   207    0.56689E+04    0.68033E+00    0.00000E+00   -0.57669E+01    0.55393E-07    0.13938E-03   -0.32156E-06
   208    0.56769E+04    0.68656E+00    0.00000E+00   -0.43557E+01    0.55123E-07    0.13826E-03   -0.30471E-06
   209    0.56844E+04    0.69390E+00    0.00000E+00   -0.29259E+01    0.54856E-07    0.13716E-03   -0.28790E-06
   210    0.56912E+04    0.70242E+00    0.00000E+00   -0.14785E+01    0.54590E-07    0.13606E-03   -0.27115E-06
   211    0.56974E+04    0.71214E+00    0.00000E+00   -0.13523E-01    0.54327E-07    0.13498E-03   -0.25448E-06
   212    0.57029E+04    0.72309E+00    0.00000E+00    0.14680E+01    0.54066E-07    0.13390E-03   -0.23790E-06
   213    0.57078E+04    0.73531E+00    0.00000E+00    0.29663E+01    0.53806E-07    0.13283E-03   -0.22144E-06
   214    0.57121E+04    0.74881E+00    0.00000E+00    0.44799E+01    0.53549E-07    0.13178E-03   -0.20511E-06
   215    0.57158E+04    0.76377E+00    0.00000E+00    0.60082E+01    0.53294E-07    0.13073E-03   -0.18894E-06
   216    0.57188E+04    0.78000E+00    0.00000E+00    0.75517E+01    0.53040E-07    0.12969E-03   -0.17291E-06
   217    0.57212E+04    0.79767E+00    0.00000E+00    0.91084E+01    0.52789E-07    0.12866E-03   -0.15702E-06
   218    0.57231E+04    0.81678E+00    0.00000E+00    0.10678E+02    0.52540E-07    0.12763E-03   -0.14127E-06
   219    0.57243E+04    0.83732E+00    0.00000E+00    0.12263E+02    0.52292E-07    0.12662E-03   -0.12565E-06
   220    0.57249E+04    0.85944E+00    0.00000E+00    0.13857E+02    0.52047E-07    0.12561E-03   -0.11016E-06
   221    0.57249E+04    0.88308E+00    0.00000E+00    0.15464E+02    0.51803E-07    0.12462E-03   -0.94790E-07
   222    0.57243E+04    0.90838E+00    0.00000E+00    0.17081E+02    0.51561E-07    0.12362E-03   -0.79533E-07
   223    0.57229E+04    0.93526E+00    0.00000E+00    0.18709E+02    0.51321E-07    0.12264E-03   -0.64384E-07
   224    0.57211E+04    0.96373E+00    0.00000E+00    0.20345E+02    0.51083E-07    0.12167E-03   -0.49339E-07
   225    0.57186E+04    0.99394E+00    0.00000E+00    0.21992E+02    0.50847E-07    0.12070E-03   -0.34392E-07
   226    0.57156E+04    0.10259E+01    0.00000E+00    0.23645E+02    0.50612E-07    0.11974E-03   -0.19538E-07
   227    0.57118E+04    0.10596E+01    0.00000E+00    0.25307E+02    0.50380E-07    0.11878E-03   -0.47700E-08
   228    0.57075E+04    0.10950E+01    0.00000E+00    0.26976E+02    0.50149E-07    0.11783E-03    0.99165E-08
   229    0.57027E+04    0.11322E+01    0.00000E+00    0.28650E+02    0.49919E-07    0.11689E-03    0.24527E-07
