#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   118   0.328513E+04  -0.346909E+02   0.298795E-03  -0.346909E+02   0.100384E+01  -0.137538E-05   0.298795E-03  -0.137538E-05   0.909260E-07
   119   0.331914E+04  -0.352772E+02   0.295701E-03  -0.352772E+02   0.101375E+01  -0.136987E-05   0.295701E-03  -0.136987E-05   0.903719E-07
   120   0.335331E+04  -0.358538E+02   0.292657E-03  -0.358538E+02   0.102313E+01  -0.136454E-05   0.292657E-03  -0.136454E-05   0.898219E-07
   121   0.338749E+04  -0.364208E+02   0.289664E-03  -0.364208E+02   0.103228E+01  -0.135952E-05   0.289664E-03  -0.135952E-05   0.892760E-07
   122   0.342176E+04  -0.369773E+02   0.286720E-03  -0.369773E+02   0.104090E+01  -0.135490E-05   0.286720E-03  -0.135490E-05   0.887342E-07
   123   0.345614E+04  -0.375234E+02   0.283825E-03  -0.375234E+02   0.104908E+01  -0.135077E-05   0.283825E-03  -0.135077E-05   0.881965E-07
   124   0.349062E+04  -0.380561E+02   0.280976E-03  -0.380561E+02   0.105688E+01  -0.134702E-05   0.280976E-03  -0.134702E-05   0.876629E-07
   125   0.352512E+04  -0.385773E+02   0.278174E-03  -0.385773E+02   0.106423E+01  -0.134347E-05   0.278174E-03  -0.134347E-05   0.871333E-07
   126   0.355971E+04  -0.390864E+02   0.275417E-03  -0.390864E+02   0.107120E+01  -0.133998E-05   0.275417E-03  -0.133998E-05   0.866078E-07
   127   0.359431E+04  -0.395826E+02   0.272705E-03  -0.395826E+02   0.107765E+01  -0.133638E-05   0.272705E-03  -0.133638E-05   0.860862E-07
   128   0.362892E+04  -0.400649E+02   0.270036E-03  -0.400649E+02   0.108372E+01  -0.133252E-05   0.270036E-03  -0.133252E-05   0.855686E-07
   129   0.366360E+04  -0.405325E+02   0.267409E-03  -0.405325E+02   0.108926E+01  -0.132824E-05   0.267409E-03  -0.132824E-05   0.850550E-07
   130   0.369827E+04  -0.409847E+02   0.264824E-03  -0.409847E+02   0.109428E+01  -0.132340E-05   0.264824E-03  -0.132340E-05   0.845453E-07
   131   0.373294E+04  -0.414230E+02   0.262278E-03  -0.414230E+02   0.109892E+01  -0.131793E-05   0.262278E-03  -0.131793E-05   0.840395E-07
   132   0.376769E+04  -0.418445E+02   0.259770E-03  -0.418445E+02   0.110303E+01  -0.131179E-05   0.259770E-03  -0.131179E-05   0.835377E-07
   133   0.380236E+04  -0.422515E+02   0.257299E-03  -0.422515E+02   0.110668E+01  -0.130493E-05   0.257299E-03  -0.130493E-05   0.830397E-07
   134   0.383704E+04  -0.426395E+02   0.254862E-03  -0.426395E+02   0.110988E+01  -0.129731E-05   0.254862E-03  -0.129731E-05   0.825457E-07
