#    L    TT             EE             TE             PP             TP          
   240   0.562108E+04   0.164827E+01   0.467838E+02   0.220691E+07   0.179433E+04
   241   0.560888E+04   0.170846E+01   0.484812E+02   0.219728E+07   0.177992E+04
   242   0.559608E+04   0.177068E+01   0.501758E+02   0.218771E+07   0.176558E+04
   243   0.558268E+04   0.183508E+01   0.518661E+02   0.217820E+07   0.175130E+04
   244   0.556866E+04   0.190159E+01   0.535528E+02   0.216876E+07   0.173711E+04
   245   0.555405E+04   0.197029E+01   0.552331E+02   0.215938E+07   0.172300E+04
   246   0.553890E+04   0.204117E+01   0.569082E+02   0.215006E+07   0.170901E+04
   247   0.552322E+04   0.211417E+01   0.585760E+02   0.214082E+07   0.169512E+04
   248   0.550693E+04   0.218965E+01   0.602365E+02   0.213164E+07   0.168137E+04
   249   0.549018E+04   0.226709E+01   0.618888E+02   0.212254E+07   0.166775E+04
   250   0.547282E+04   0.234695E+01   0.635316E+02   0.211350E+07   0.165426E+04
   251   0.545500E+04   0.242891E+01   0.651656E+02   0.210453E+07   0.164087E+04
   252   0.543648E+04   0.251321E+01   0.667892E+02   0.209563E+07   0.162759E+04
   253   0.541765E+04   0.259963E+01   0.684010E+02   0.208678E+07   0.161439E+04
   254   0.539820E+04   0.268845E+01   0.700010E+02   0.207799E+07   0.160125E+04
   255   0.537820E+04   0.277938E+01   0.715892E+02   0.206926E+07   0.158818E+04
   256   0.535773E+04   0.287279E+01   0.731655E+02   0.206058E+07   0.157515E+04
   257   0.533679E+04   0.296824E+01   0.747218E+02   0.205195E+07   0.156217E+04
   258   0.531530E+04   0.306610E+01   0.762706E+02   0.204338E+07   0.154926E+04
   259   0.529335E+04   0.316622E+01   0.777970E+02   0.203486E+07   0.153644E+04
   260   0.527100E+04   0.326861E+01   0.793158E+02   0.202640E+07   0.152371E+04
   261   0.524812E+04   0.337319E+01   0.808048E+02   0.201800E+07   0.151109E+04
   262   0.522470E+04   0.348018E+01   0.822860E+02   0.200967E+07   0.149859E+04
   263   0.520112E+04   0.358937E+01   0.837521E+02   0.200139E+07   0.148622E+04
   264   0.517693E+04   0.370082E+01   0.851956E+02   0.199317E+07   0.147397E+04
   265   0.515221E+04   0.381447E+01   0.866090E+02   0.198501E+07   0.146183E+04
   266   0.512717E+04   0.393053E+01   0.880147E+02   0.197691E+07   0.144977E+04
   267   0.510161E+04   0.404863E+01   0.893902E+02   0.196885E+07   0.143779E+04
   268   0.507565E+04   0.416914E+01   0.907506E+02   0.196085E+07   0.142585E+04
   269   0.504916E+04   0.429177E+01   0.920883E+02   0.195290E+07   0.141396E+04
   270   0.502243E+04   0.441658E+01   0.934034E+02   0.194499E+07   0.140210E+04
   271   0.499524E+04   0.454350E+01   0.946958E+02   0.193713E+07   0.139028E+04
   272   0.496782E+04   0.467283E+01   0.959581E+02   0.192931E+07   0.137851E+04
   273   0.493993E+04   0.480399E+01   0.972052E+02   0.192155E+07   0.136682E+04
   274   0.491173E+04   0.493756E+01   0.984148E+02   0.191383E+07   0.135522E+04
   275   0.488315E+04   0.507303E+01   0.996093E+02   0.190617E+07   0.134372E+04
   276   0.485433E+04   0.521062E+01   0.100766E+03   0.189856E+07   0.133234E+04
   277   0.482506E+04   0.535034E+01   0.101908E+03   0.189100E+07   0.132109E+04
   278   0.479555E+04   0.549211E+01   0.103013E+03   0.188350E+07   0.130996E+04
   279   0.476573E+04   0.563584E+01   0.104087E+03   0.187604E+07   0.129893E+04
   280   0.473559E+04   0.578154E+01   0.105146E+03   0.186864E+07   0.128799E+04
   281   0.470529E+04   0.592929E+01   0.106167E+03   0.186127E+07   0.127711E+04
   282   0.467452E+04   0.607876E+01   0.107158E+03   0.185396E+07   0.126628E+04
   283   0.464358E+04   0.623020E+01   0.108118E+03   0.184668E+07   0.125548E+04
   284   0.461239E+04   0.638352E+01   0.109048E+03   0.183944E+07   0.124469E+04
   285   0.458095E+04   0.653872E+01   0.109948E+03   0.183225E+07   0.123394E+04
   286   0.454920E+04   0.669566E+01   0.110810E+03   0.182510E+07   0.122323E+04
   287   0.451721E+04   0.685434E+01   0.111649E+03   0.181799E+07   0.121258E+04
   288   0.448507E+04   0.701477E+01   0.112450E+03   0.181092E+07   0.120201E+04
   289   0.445268E+04   0.717687E+01   0.113220E+03   0.180390E+07   0.119155E+04
   290   0.442015E+04   0.734051E+01   0.113961E+03   0.179692E+07   0.118119E+04
   291   0.438746E+04   0.750642E+01   0.114656E+03   0.178999E+07   0.117097E+04
   292   0.435433E+04   0.767350E+01   0.115329E+03   0.178311E+07   0.116086E+04
   293   0.432134E+04   0.784136E+01   0.115957E+03   0.177627E+07   0.115085E+04
   294   0.428805E+04   0.801148E+01   0.116562E+03   0.176947E+07   0.114091E+04
   295   0.425484E+04   0.818238E+01   0.117121E+03   0.176271E+07   0.113103E+04
   296   0.422133E+04   0.835554E+01   0.117651E+03   0.175599E+07   0.112119E+04
   297   0.418775E+04   0.852872E+01   0.118150E+03   0.174931E+07   0.111138E+04
   298   0.415395E+04   0.870415E+01   0.118604E+03   0.174266E+07   0.110157E+04
   299   0.412015E+04   0.888109E+01   0.119021E+03   0.173605E+07   0.109178E+04
   300   0.408620E+04   0.905805E+01   0.119400E+03   0.172948E+07   0.108203E+04
   301   0.405218E+04   0.923651E+01   0.119748E+03   0.172294E+07   0.107234E+04
   302   0.401816E+04   0.941574E+01   0.120067E+03   0.171644E+07   0.106273E+04
   303   0.398407E+04   0.959648E+01   0.120340E+03   0.170998E+07   0.105321E+04
   304   0.394989E+04   0.977873E+01   0.120567E+03   0.170356E+07   0.104380E+04
   305   0.391572E+04   0.996099E+01   0.120765E+03   0.169718E+07   0.103452E+04
   306   0.388147E+04   0.101440E+02   0.120925E+03   0.169083E+07   0.102536E+04
   307   0.384721E+04   0.103278E+02   0.121039E+03   0.168453E+07   0.101629E+04
   308   0.381296E+04   0.105139E+02   0.121131E+03   0.167827E+07   0.100729E+04
   309   0.377877E+04   0.106992E+02   0.121170E+03   0.167204E+07   0.998356E+03
   310   0.374452E+04   0.108846E+02   0.121178E+03   0.166585E+07   0.989455E+03
   311   0.371033E+04   0.110722E+02   0.121141E+03   0.165970E+07   0.980573E+03
   312   0.367622E+04   0.112591E+02   0.121074E+03   0.165358E+07   0.971696E+03
   313   0.364210E+04   0.114467E+02   0.120962E+03   0.164750E+07   0.962837E+03
   314   0.360806E+04   0.116352E+02   0.120819E+03   0.164145E+07   0.954012E+03
   315   0.357409E+04   0.118228E+02   0.120630E+03   0.163543E+07   0.945239E+03
   316   0.354018E+04   0.120113E+02   0.120403E+03   0.162944E+07   0.936535E+03
   317   0.350635E+04   0.121990E+02   0.120138E+03   0.162349E+07   0.927918E+03
   318   0.347259E+04   0.123882E+02   0.119834E+03   0.161756E+07   0.919405E+03
   319   0.343897E+04   0.125766E+02   0.119492E+03   0.161166E+07   0.911007E+03
   320   0.340549E+04   0.127651E+02   0.119118E+03   0.160579E+07   0.902714E+03
