#    L    TT             EE             BB             TE          
   280   0.472463E+04   0.582077E+01   0.278589E-01   0.104497E+03
   281   0.469443E+04   0.596797E+01   0.280244E-01   0.105502E+03
   282   0.466377E+04   0.611687E+01   0.281893E-01   0.106478E+03
   283   0.463295E+04   0.626770E+01   0.283536E-01   0.107423E+03
   284   0.460188E+04   0.642038E+01   0.285173E-01   0.108337E+03
   285   0.457057E+04   0.657491E+01   0.286804E-01   0.109222E+03
   286   0.453896E+04   0.673114E+01   0.288429E-01   0.110068E+03
   287   0.450711E+04   0.688909E+01   0.290048E-01   0.110892E+03
   288   0.447510E+04   0.704874E+01   0.291660E-01   0.111678E+03
   289   0.444287E+04   0.721004E+01   0.293266E-01   0.112434E+03
   290   0.441049E+04   0.737284E+01   0.294865E-01   0.113160E+03
   291   0.437796E+04   0.753786E+01   0.296458E-01   0.113841E+03
   292   0.434499E+04   0.770402E+01   0.298043E-01   0.114499E+03
   293   0.431217E+04   0.787095E+01   0.299623E-01   0.115112E+03
   294   0.427906E+04   0.804008E+01   0.301195E-01   0.115703E+03
   295   0.424602E+04   0.820997E+01   0.302760E-01   0.116249E+03
   296   0.421270E+04   0.838207E+01   0.304319E-01   0.116765E+03
   297   0.417930E+04   0.855418E+01   0.305871E-01   0.117250E+03
   298   0.414569E+04   0.872849E+01   0.307415E-01   0.117691E+03
   299   0.411209E+04   0.890426E+01   0.308953E-01   0.118095E+03
   300   0.407834E+04   0.908004E+01   0.310484E-01   0.118461E+03
   301   0.404453E+04   0.925728E+01   0.312007E-01   0.118797E+03
   302   0.401072E+04   0.943526E+01   0.313524E-01   0.119102E+03
   303   0.397683E+04   0.961470E+01   0.315033E-01   0.119363E+03
   304   0.394288E+04   0.979561E+01   0.316535E-01   0.119579E+03
   305   0.390892E+04   0.997651E+01   0.318030E-01   0.119765E+03
   306   0.387490E+04   0.101582E+02   0.319518E-01   0.119914E+03
   307   0.384088E+04   0.103405E+02   0.320999E-01   0.120017E+03
   308   0.380685E+04   0.105251E+02   0.322473E-01   0.120098E+03
   309   0.377291E+04   0.107089E+02   0.323940E-01   0.120127E+03
   310   0.373889E+04   0.108928E+02   0.325400E-01   0.120125E+03
   311   0.370495E+04   0.110788E+02   0.326852E-01   0.120079E+03
   312   0.367108E+04   0.112641E+02   0.328298E-01   0.120003E+03
   313   0.363722E+04   0.114501E+02   0.329737E-01   0.119881E+03
   314   0.360343E+04   0.116368E+02   0.331168E-01   0.119730E+03
   315   0.356972E+04   0.118228E+02   0.332593E-01   0.119533E+03
   316   0.353607E+04   0.120095E+02   0.334011E-01   0.119298E+03
   317   0.350251E+04   0.121955E+02   0.335423E-01   0.119025E+03
   318   0.346901E+04   0.123829E+02   0.336827E-01   0.118715E+03
   319   0.343566E+04   0.125695E+02   0.338225E-01   0.118366E+03
   320   0.340245E+04   0.127561E+02   0.339617E-01   0.117986E+03
   321   0.336932E+04   0.129434E+02   0.341002E-01   0.117561E+03
