# beam00
#  May 2019 
#  For 2018 SPT-3G Data 
# Beam product computed from the last 5 Mars observations of 2018. Mars maps are made in source-centered coordinates. Spectra are corrected by the 15 arcsecond size of Mars, the 0.2 arcmin pixel window function, and the transfer function for the third order polynomial filter computed from mock observations. This beam is convolved with a 42 arcsecond Gaussian to account for pointing jitter in the field observations as determined from taking the cross spectra of the ten brightest point sources in the 2018 field observations of ID 47* to 57*. The jitter beam calculation is found by dividing the mean point source beam by the mean Mars beam, and fitting a Gaussian. The mean Gaussian across the three frequencies is used. The per-ell beam is a cubic interpolation between points from ell=50 to ell=20000 in bin size=50It is zero above ell=20000 and the constant at the lowest bin value below ell=50.The beam is normalized to 1 between ell=600 and ell=1000.
#  ell 90 150 220
1.432200000000000000e+04 9.282348490508629535e-03 5.695563717103479390e-02 1.049080566808752168e-01
1.432300000000000000e+04 9.273755505233252650e-03 5.689821916776240107e-02 1.048872196595899142e-01
1.432400000000000000e+04 9.265174893436090020e-03 5.684066380583391309e-02 1.048665249526954252e-01
1.432500000000000000e+04 9.256607329045898197e-03 5.678308411844048414e-02 1.048459442920389034e-01
1.432600000000000000e+04 9.248053485991437200e-03 5.672559313877323373e-02 1.048254494094673639e-01
1.432700000000000000e+04 9.239514038201470519e-03 5.666830390002328827e-02 1.048050120368280158e-01
1.432800000000000000e+04 9.230989659604758174e-03 5.661132943538180196e-02 1.047846039059679435e-01
1.432900000000000000e+04 9.222481024130058450e-03 5.655478277803988041e-02 1.047641967487342035e-01
1.433000000000000000e+04 9.213988805706138305e-03 5.649877696118869863e-02 1.047437622969739912e-01
1.433100000000000000e+04 9.205513678261756025e-03 5.644342501801936918e-02 1.047232722825343770e-01
1.433200000000000000e+04 9.197056315725673364e-03 5.638883998172302542e-02 1.047026984372625147e-01
1.433300000000000000e+04 9.188617392026646874e-03 5.633513488549079379e-02 1.046820124930054330e-01
1.433400000000000000e+04 9.180197581093446982e-03 5.628242276251382153e-02 1.046611861816103273e-01
1.433500000000000000e+04 9.171797556854826769e-03 5.623081664598324203e-02 1.046401912349242957e-01
1.433600000000000000e+04 9.163417993239551460e-03 5.618042956909018865e-02 1.046189993847944366e-01
1.433700000000000000e+04 9.155059564176379339e-03 5.613137456502580169e-02 1.045975823630678481e-01
1.433800000000000000e+04 9.146722943594075630e-03 5.608376466698120760e-02 1.045759119015916838e-01
1.433900000000000000e+04 9.138408805421396885e-03 5.603771290814755363e-02 1.045539597322130421e-01
1.434000000000000000e+04 9.130117823587104858e-03 5.599333232171593844e-02 1.045316975867790071e-01
1.434100000000000000e+04 9.121850672019968242e-03 5.595073594087755786e-02 1.045090971971367605e-01
1.434200000000000000e+04 9.113608024648734915e-03 5.591003679882348282e-02 1.044861302951333171e-01
1.434300000000000000e+04 9.105390555402178773e-03 5.587134792874490219e-02 1.044627686126159138e-01
1.434400000000000000e+04 9.097198938209052899e-03 5.583478236383290078e-02 1.044389838814315657e-01
1.434500000000000000e+04 9.089033846998119046e-03 5.580045313727864664e-02 1.044147478334274126e-01
1.434600000000000000e+04 9.080895955698145908e-03 5.576847328227326622e-02 1.043900322004505804e-01
1.434700000000000000e+04 9.072785938237883097e-03 5.573895583200788595e-02 1.043648087143481812e-01
1.434800000000000000e+04 9.064704468546102775e-03 5.571201381967366695e-02 1.043390491069673409e-01
1.434900000000000000e+04 9.056652220551556290e-03 5.568776027846170096e-02 1.043127251101551300e-01
1.435000000000000000e+04 9.048629868183015804e-03 5.566630824156316992e-02 1.042858084557587300e-01
1.435100000000000000e+04 9.040637744620766761e-03 5.564773211379376444e-02 1.042582796816684115e-01
1.435200000000000000e+04 9.032674820051270898e-03 5.563195178646759137e-02 1.042301545499475929e-01
1.435300000000000000e+04 9.024739723912506700e-03 5.561884852252330785e-02 1.042014576287027539e-01
1.435400000000000000e+04 9.016831085642461330e-03 5.560830358489960573e-02 1.041722134860405130e-01
1.435500000000000000e+04 9.008947534679121946e-03 5.560019823653515603e-02 1.041424466900673640e-01
1.435600000000000000e+04 9.001087700460475710e-03 5.559441374036863670e-02 1.041121818088899670e-01
1.435700000000000000e+04 8.993250212424509782e-03 5.559083135933873265e-02 1.040814434106148295e-01
1.435800000000000000e+04 8.985433700009202648e-03 5.558933235638410103e-02 1.040502560633484591e-01
1.435900000000000000e+04 8.977636792652555348e-03 5.558979799444343367e-02 1.040186443351975437e-01
1.436000000000000000e+04 8.969858119792535958e-03 5.559210953645538772e-02 1.039866327942685215e-01
1.436100000000000000e+04 8.962096310867147253e-03 5.559614824535868971e-02 1.039542460086680664e-01
