# README: 
# 
# This list was generated by hand by Tom C. on 5Mar19. The input map was
# Daniel D's 2018 coadd lpf9000_tonly_0.5res.g3. The maps were
# isotropically high-pass filtered (with a filter that would have been
# optimal for a map with CMB, white noise, and Gaussian beams). All
# sources are shown that were detected in any band at at least 10
# sigma. This threshold is roughly 10, 10, and 40 mJy at 90, 150, 220
# GHz. The flux measurements are only accurate to ~10% because we don't
# have proper beam measurements yet.
# 
# All detections are listed here, regardless of robustness. I (TC)
# have visually inspected all detections, and any source that appears to
# be spurious (almost always a filtering wing from a brighter sources)
# has been given the "bad flag" value of 1.
# 
# Sources outside the uniform-coverage region have had their
# signal-to-noise and flux measurements rolled off by the apodization
# mask, so sources near the edges of the map should not be used for
# any flux comparisons to other lists or catalogs.
# 
# This file is not in the format expected by the mask constructor in 3g
# mapmaking. It is intended to be used as a resource to build such
# lists.
# 
# The source finding and flagging was done in IDL on spt.uchicago.edu,
# and the IDL code used is in the tar file in this directory
# initial_source_finding_in_idl_docs.tar.gz.


# RA [deg]  dec [deg]  SN90  S90 [mJy]  SN150  S150 [mJy]  SN220  S220 [mJy]  bad_flag
 356.785   -49.817    14.537    16.618       NaN       NaN       NaN       NaN         1
 356.789   -49.736    13.955    15.953       NaN       NaN       NaN       NaN         1
 356.826   -51.181   157.150   179.644   119.409   148.163    28.193   117.303         0
 356.924   -49.779   204.644   233.937   160.265   198.857    39.952   166.226         0
 356.928   -60.858    10.461    11.958       NaN       NaN       NaN       NaN         1
 356.936   -42.348    12.630    14.438       NaN       NaN       NaN       NaN         0
 356.939   -60.779    11.141    12.735       NaN       NaN       NaN       NaN         1
 356.963   -51.222    11.137    12.731       NaN       NaN       NaN       NaN         1
 356.970   -59.262    17.169    19.626    13.037    16.177       NaN       NaN         0
 356.975   -51.147    11.121    12.713       NaN       NaN       NaN       NaN         1
 357.030   -49.586    14.570    16.656    11.915    14.784       NaN       NaN         1
 357.033   -49.510    10.799    12.345       NaN       NaN       NaN       NaN         1
 357.060   -49.819    15.822    18.087    11.359    14.094       NaN       NaN         1
 357.066   -49.736    12.072    13.800       NaN       NaN       NaN       NaN         1
 357.113   -60.822   150.067   171.548   132.230   164.071    32.081   133.479         0
 357.214   -51.059    26.082    29.815    23.526    29.192       NaN       NaN         0
 357.226   -49.590       NaN       NaN    20.661    25.636       NaN       NaN         1
 357.266   -66.048    14.665    16.764    13.701    17.000       NaN       NaN         0
 357.296   -60.862    10.535    12.042       NaN       NaN       NaN       NaN         1
 357.300   -60.784    10.661    12.187       NaN       NaN       NaN       NaN         1
 357.348   -49.546   414.635   473.986   388.177   481.651   111.640   464.499         0
 357.348   -49.605    26.500    30.294       NaN       NaN       NaN       NaN         1
 357.350   -49.486    27.435    31.362    23.355    28.979       NaN       NaN         1
 357.453   -49.599       NaN       NaN    22.264    27.626       NaN       NaN         1
 357.679   -49.581    10.781    12.324       NaN       NaN       NaN       NaN         1
 357.686   -49.511    10.984    12.556       NaN       NaN       NaN       NaN         1
 357.845   -70.623    19.021    21.744    15.317    19.005       NaN       NaN         0
 357.845   -70.466    10.965    12.535       NaN       NaN       NaN       NaN         0
 357.890   -43.001    62.159    71.056    46.842    58.122    11.050    45.974         0
 358.001   -60.957    10.116    11.565       NaN       NaN       NaN       NaN         0
 358.065   -64.822    11.567    13.223       NaN       NaN       NaN       NaN         0
 358.260   -55.503    17.707    20.242    12.858    15.955       NaN       NaN         0
 358.292   -48.106    97.030   110.919    89.183   110.658    24.327   101.219         0
 358.344   -58.958    13.716    15.680       NaN       NaN       NaN       NaN         0
 358.770   -68.285    11.838    13.533       NaN       NaN       NaN       NaN         1
 358.773   -68.370    12.637    14.446       NaN       NaN       NaN       NaN         1
 358.808   -53.225    10.436    11.930       NaN       NaN       NaN       NaN         1
 358.865   -45.230    24.725    28.264    16.536    20.518       NaN       NaN         0
 358.909   -54.312    37.532    42.904    26.225    32.540       NaN       NaN         0
 358.992   -53.224       NaN       NaN    10.107    12.540       NaN       NaN         1
 359.010   -51.219    13.472    15.401    10.143    12.586       NaN       NaN         0
 359.011   -68.329   194.980   222.889   120.554   149.583    21.518    89.531         0
 359.018   -66.310    10.221    11.685       NaN       NaN       NaN       NaN         0
 359.055   -53.151    17.348    19.831       NaN       NaN       NaN       NaN         1
 359.058   -53.227    18.049    20.633       NaN       NaN       NaN       NaN         1
 359.114   -48.759    17.226    19.692    11.867    14.724       NaN       NaN         0
 359.128   -53.155       NaN       NaN    12.763    15.836       NaN       NaN         1
 359.142   -53.221       NaN       NaN    11.322    14.048       NaN       NaN         1
 359.239   -68.283    11.650    13.317       NaN       NaN       NaN       NaN         1
 359.276   -68.362    11.820    13.512       NaN       NaN       NaN       NaN         1
 359.333   -48.643    93.536   106.924    78.385    97.260    18.012    74.941         0
 359.356   -45.291    13.002    14.863    10.192    12.646       NaN       NaN         0
 359.375   -45.887    17.340    19.822    12.485    15.491       NaN       NaN         1
 359.377   -41.423    10.980    14.741       NaN       NaN       NaN       NaN         0
 359.380   -45.972    19.232    21.985    14.767    18.324       NaN       NaN         1
 359.432   -59.595    10.022    11.456       NaN       NaN       NaN       NaN         0
 359.464   -53.134       NaN       NaN    31.491    39.074       NaN       NaN         1
 359.465   -53.190   756.026   864.243   551.533   684.342   125.578   522.490         0
 359.465   -53.251    50.021    57.181    31.608    39.219       NaN       NaN         1
 359.483   -45.824    10.128    11.577       NaN       NaN       NaN       NaN         1
 359.504   -45.929   246.497   281.781   220.504   273.602    55.927   232.696         0
 359.510   -46.025    11.007    12.583       NaN       NaN       NaN       NaN         1
 359.513   -60.845    10.022    11.457       NaN       NaN       NaN       NaN         1
 359.534   -53.132    49.003    56.017       NaN       NaN       NaN       NaN         1
 359.587   -69.468    16.585    18.958    13.654    16.942       NaN       NaN         0
 359.621   -67.546    13.738    15.704       NaN       NaN       NaN       NaN         0
 359.623   -60.978    14.292    16.338       NaN       NaN       NaN       NaN         1
 359.631   -45.970    16.976    19.406    13.764    17.078       NaN       NaN         1
 359.636   -45.887    15.785    18.045    12.226    15.170       NaN       NaN         1
 359.694   -60.882   154.672   176.812   101.920   126.463    19.777    82.284         0
 359.706   -44.207    10.245    11.711       NaN       NaN       NaN       NaN         0
 359.799   -53.158       NaN       NaN    13.054    16.197       NaN       NaN         1
 359.809   -53.223       NaN       NaN    11.352    14.086       NaN       NaN         1
 359.833   -60.947    87.622   100.164    57.264    71.054    11.413    47.485         0
 359.865   -53.228    19.726    22.549       NaN       NaN       NaN       NaN         1
 359.875   -60.840    14.734    16.843    10.700    13.276       NaN       NaN         1
 359.940   -50.713    45.270    51.750    40.004    49.637    10.516    43.755         0
